Key,Type,Desc,English,Korean,Japanese,German,Spanish,Portuguese (Brazil),Vietnamese,Russian,Indonesian,Thai,French,$Arabic,Hindi,Turkish
Available,Text,,Available,사용 가능,利用可能,verfügbar,disponible,disponível,Có sẵn,доступно,tersedia,พร้อมใช้งาน,Disponible,متاح,उपलब्ध,Mevcut
Available in value,Text,,Available in {[VALUE]},{[VALUE]}에 이용 가능,{[VALUE]}に利用可能,Verfügbar am {[VALUE]},Disponible el {[VALUE]},Disponível em {[VALUE]},Có sẵn vào {[VALUE]},Доступно {[VALUE]},Tersedia pada {[VALUE]},ใช้งานได้ในวันที่ {[VALUE]},Disponible le {[VALUE]},متاح في {[VALUE]},{[VALUE]} को उपलब्ध,{[VALUE]} tarihinde mevcut
Avatar,Text,,Avatar,아바타,アバター,Avatar,Avatar,Avatar,Ảnh,Аватар,Avatar,อวตาร,Avatar,أفاتار,अवतार,Avatar
Avocado,Text,,Avocado,아보카도,アボカド,Avocado,Aguacate,Abacate,Bơ,Авокадо,Alpukat,อะโวคาโด,Avocat,أفوكادو,एवोकाडो,Avokado
Awakening Light,Text,,Awakening Light,깨어나는 빛,目覚めの光,Erwachendes Licht,Luz del despertar,Luz do Despertar,Ánh Sáng Thức Tỉnh,Пробуждающий свет,Cahaya Kebangkitan,แสงแห่งการตื่นรู้,Lumière de l’éveil,نور الاستيقاظ,जागृति की रोशनी,Uyanış Işığı
Awakening the Fire Spirit,Text,,Awakening the Fire Spirit,불의 정령을 깨우다,炎の精霊の目覚め,Das Erwachen des Feuerschgeistes,El despertar del espíritu del fuego,O despertar do espírito do fogo,Đánh thức Linh Hồn Lửa,Пробуждение Духа Огня,Membangunkan Roh Api,ปลุกวิญญาณแห่งไฟ,L’éveil de l’esprit du feu,إيقاظ روح النار,अग्नि आत्मा का जागरण,Ateş Ruhu’nun Uyanışı
Awesome!,Text,,Awesome!,최고야!,すごい！,Großartig!,¡Increíble!,Incrível!,Tuyệt vời!,Круто!,Keren!,สุดยอด!,Génial !,رائع!,ज़बरदस्त!,Harika!
BBQ & Grill,Text,,BBQ & Grill,바비큐 & 그릴,BBQ & グリル,BBQ & Grill,BBQ y Parrilla,Churrasco & Grelha,BBQ & Nướng,Барбекю и гриль,BBQ & Panggang,บาร์บีคิว & กริลล์,BBQ & Grillades,شواء وشواية,बीबीक्यू और ग्रिल,Barbekü ve Izgara
Back To School,Text,,Back To School,돌아온 개학,バック,Zurück zur Schule,De vuelta a la escuela,De volta às aulas,Trở lại trường học,Снова в школу,Kembali ke Sekolah,กลับไปโรงเรียน,Retour à l’école,العودة إلى المدرسة,स्कूल वापसी,Okula Dönüş
Badge,Text,,Badge,배지,バッジ,Abzeichen,Insignia,Distintivo,Huy hiệu,Значок,Lencana,เข็มกลัด,Badge,شارة,बैज,Rozet
Barbecue,Text,,Barbecue,바비큐,バーベキュー,Barbecue,Barbacoa,Churrasco,Thịt nướng,Барбекю,Barbekyu,บาร์บีคิว,Barbecue,باربكيو,बारबेक्यू,Barbekü
Beach,Text,,Beach,해변,ビーチ,Strand,Playa,Praia,Bãi Biển,Пляж,Pantai,ชายหาด,Plage,شاطئ,समुद्र तट,Plaj
Beat Level to get Energies!,Text,,Beat Level to get Energies!,레벨을 완료하고 에너지를 얻으세요!,レベルをクリアしてエネルギーを獲得！,"Besiege das Level, um Energie zu erhalten!",¡Supera el nivel para obtener energías!,Vença o nível para ganhar energias!,Vượt qua màn chơi để nhận năng lượng!,"Пройди уровень, чтобы получить энергию!",Kalahkan level untuk mendapatkan energi!,ชนะด่านเพื่อรับพลังงาน!,Terminez le niveau pour obtenir de l’énergie !,اهزم المستوى للحصول على طاقات!,लेवल पूरा करें और ऊर्जा पाएं!,"Bölümü geç, enerji kazan!"
Beat Levels to get Energies,Text,,Beat Levels to get Energies,레벨들을 완료하고 에너지를 얻으세요,レベルをクリアしてエネルギーを獲得,"Besiege die Levels, um Energie zu erhalten",¡Supera los niveles para obtener energías!,Vença os níveis para ganhar energias,Vượt qua nhiều màn chơi để nhận năng lượng,"Пройди уровни, чтобы получить энергию",Kalahkan level-level untuk mendapatkan energi,ชนะหลายด่านเพื่อรับพลังงาน,Terminez les niveaux pour obtenir de l’énergie,اهزم المستويات للحصول على طاقات,लेवल्स पूरा करें और ऊर्जा पाएं,"Bölümleri geç, enerji kazan"
Beat Levels!,Text,,Beat Levels!,레벨들을 클리어!,レベルクリア！,Level geschafft!,¡Supera los niveles!,¡Supera los niveles!,Vượt các màn!,Пройди уровни!,Lewati level-level!,ผ่านด่านทั้งหมด!,Niveaux réussis !,اهزم المستويات!,स्तर पूरे करो!,Bölümleri Geç!
Beat consecutive rounds on your first try before others to complete the mission!,Text,,Beat {[value]} consecutive rounds on your first try before others to complete the mission!,다른 사람보다 먼저 한 번의 시도로 {[value]}연속 라운드를 클리어하여 미션을 완료하세요!,ほかの人より先に一発で{[value]}連続ラウンドをクリアしてミッションを達成しましょう！,"Bestehe {[value]} aufeinanderfolgende Runden beim ersten Versuch vor den anderen, um die Mission abzuschließen!",Supera {[value]} rondas consecutivas en tu primer intento antes que los demás para completar la misión.,Vença {[value]} rodadas consecutivas na sua primeira tentativa antes dos outros para completar a missão!,Vượt qua {[value]} vòng liên tiếp ngay trong lần thử đầu tiên trước người khác để hoàn thành nhiệm vụ!,"Пройди {[value]} раундов подряд с первой попытки раньше других, чтобы завершить миссию!",Selesaikan {[value]} ronde berturut-turut pada percobaan pertama sebelum pemain lain untuk menuntaskan misi!,ผ่าน {[value]} รอบติดต่อกันให้ได้ตั้งแต่ครั้งแรกก่อนคนอื่น เพื่อทำภารกิจให้สำเร็จ!,Termine {[value]} manches consécutives du premier coup avant les autres pour accomplir la mission !,أكمل {[value]} جولات متتالية من المحاولة الأولى قبل الآخرين لإنهاء المهمة!,दूसरों से पहले पहली कोशिश में लगातार {[value]} राउंड पार करें ताकि मिशन पूरा हो सके!,Görevi tamamlamak için diğerlerinden önce {[value]} turu art arda ilk denemede geç!
Beat levels on your first try before others to complete the mission.,Text,,Beat levels on your first try before others to complete the mission.,다른 사람보다 먼저 한 번의 시도로 레벨을 클리어하여 미션을 완료하세요.,ほかの人より先に一発でレベルをクリアしてミッションを達成しましょう。,"Bestehe die Level beim ersten Versuch vor den anderen, um die Mission abzuschließen.",Supera los niveles en tu primer intento antes que los demás para completar la misión.,Vença os níveis na sua primeira tentativa antes dos outros para completar a missão.,Vượt qua các màn chơi ngay trong lần thử đầu tiên trước người khác để hoàn thành nhiệm vụ.,"Пройди уровни с первой попытки раньше других, чтобы завершить миссию.",Selesaikan level pada percobaan pertama sebelum pemain lain untuk menuntaskan misi.,ผ่านด่านให้ได้ตั้งแต่ครั้งแรกก่อนคนอื่น เพื่อทำภารกิจให้สำเร็จ!,Termine les niveaux du premier coup avant les autres pour accomplir la mission.,أكمل المراحل من المحاولة الأولى قبل الآخرين لإنهاء المهمة.,दूसरों से पहले पहली कोशिश में स्तर पार करें ताकि मिशन पूरा हो सके।,Görevi tamamlamak için diğerlerinden önce seviyeleri ilk denemede geç.
Beat levels to Fill your Piggy Bank!,Text,,Beat levels to Fill your Piggy Bank!,스테이지를 깨서 저금통을 채워보세요!,ステージをクリアして貯金箱を満たそう,"Schließe Level ab, um dein Sparschwein zu füllen!",¡Completa niveles para llenar tu alcancía!,Complete fases para encher seu cofrinho!,Vượt qua màn để làm đầy Heo đất của bạn!,"Проходите уровни, чтобы наполнить копилку!",Selesaikan level untuk mengisi celenganmu!,ผ่านด่านเพื่อเติมกระปุกออมสินของคุณ!,Réussis des niveaux pour remplir ta tirelire !,أكمل المراحل لملء حصالتك!,लेवल जीतकर अपनी गुल्लक भरें!,Kumbara’yı doldurmak için seviyeleri geç!
Beat levels to collect BBQ grill as team to open the chest!,Text,,Beat levels to collect <color=#FFD304>BBQ grill</color> as team to open the chest!,상자를 열기 위해 팀으로서 레벨을 완료하고 <color=#FFD304>BBQ 그릴</color>을 모으세요!,チェストを開けるために、チームでレベルをクリアして<color=#FFD304>BBQグリル</color>を集めよう！,"Schließe Level ab, um gemeinsam <color=#FFD304>BBQ-Grill</color> zu sammeln und die Truhe zu öffnen!",Completa niveles para recolectar <color=#FFD304>parrillas BBQ</color> como equipo y abrir el cofre.,Complete níveis para coletar <color=#FFD304>grelhas de churrasco</color> como equipe e abrir o baú!,Vượt qua các màn để cùng đội thu thập <color=#FFD304>bếp nướng BBQ</color> và mở rương!,"Проходите уровни, чтобы собрать <color=#FFD304>BBQ-гриль</color> командой и открыть сундук!",Selesaikan level untuk mengumpulkan <color=#FFD304>panggangan BBQ</color> sebagai tim untuk membuka peti!,ผ่านด่านเพื่อสะสม <color=#FFD304>เตาปิ้ง BBQ</color> เป็นทีมเพื่อเปิดหีบ!,Battez les niveaux pour collecter en équipe des <color=#FFD304>barbecues</color> et ouvrir le coffre !,أكمل المراحل لجمع <color=#FFD304>شوايات BBQ</color> كفريق لفتح الصندوق!,लेवल पार करें और टीम के रूप में <color=#FFD304>BBQ ग्रिल</color> इकट्ठा करें ताकि चेस्ट खोल सकें!,Kutu açmak için takım olarak seviye geçip <color=#FFD304>BBQ ızgaraları</color> toplayın!
Beat levels without failing 3 times to complete step!,Text,,Beat levels without failing 3 times to complete step!,3번 실패하지 않고 레벨을 클리어해 단계를 완성하세요!,3回失敗せずにレベルをクリアしてステップ達成！,"Schließe die Stufe ab, indem du Level bestehst, ohne 3-mal zu scheitern!",Supera niveles sin fallar 3 veces para completar el paso.,Vença as fases sem falhar 3 vezes para completar a etapa!,Vượt màn mà không thua 3 lần để hoàn tất bước này!,"Пройди уровни, не проиграв 3 раза, чтобы завершить этап!",Lewati level tanpa gagal 3 kali untuk menyelesaikan tahap!,ผ่านด่านโดยไม่ล้มเหลวเกิน 3 ครั้งเพื่อทำขั้นตอนให้เสร็จ!,Termine l’étape en réussissant les niveaux sans échouer 3 fois !,أنهِ المستويات دون أن تفشل 3 مرات لإكمال المرحلة!,3 बार असफल हुए बिना स्तर पूरे करो और चरण पूरा करो!,Adımı tamamlamak için 3 kez başarısız olmadan seviyeleri geç!
Beef Steak,Text,,Beef Steak,비프 스테이크,ビーフステーキ,Rindersteak,Filete de res,Bife de carne,Bít tết bò,Говяжий стейк,Steak sapi,สเต็กเนื้อ,Steak de bœuf,ستيك لحم بقري,बीफ़ स्टेक,Biftek
Bento,Text,,Bento,벤토,弁当,Bento,Bento,Bentô,Cơm hộp Bento,Бенто,Bento,เบนโตะ,Bento,بينتو,बेंटो,Bento
Berry Oatmeal,Text,,Berry Oatmeal,베리 오트밀,ベリーオートミール,Beeren-Haferbrei,Avena con bayas,Aveia com frutas vermelhas,Cháo yến mạch quả mọng,Ягодная овсянка,Oatmeal berry,ข้าวโอ๊ตเบอร์รี่,Flocons d'avoine aux baies,شوفان بالتوت,जामुन ओटमील,Yulaflı Meyve
Best Value,Text,,Best Value,그냥 특가,ベストバリュー,Bester Wert,Mejor valor,Melhor valor,Giá trị nhất,Лучшее предложение,Nilai Terbaik,คุ้มค่าที่สุด,Meilleure offre,أفضل قيمة,सबसे बढ़िया सौदा,En İyi Değer
Best offer,Text,,Best offer,최고 혜택,最良オファー,Bestes Angebot,Mejor oferta,Melhor oferta,Ưu đãi tốt nhất,Лучшее предложение,Penawaran terbaik,ข้อเสนอที่ดีที่สุด,Meilleure offre,أفضل عرض,सबसे अच्छा ऑफ़र,En İyi Teklif
Black Friday,Text,,Black Friday,블프,ブラフラ,Black Friday,Black Friday,Black Friday,Black Friday,ЧП,Black Friday,แบล็กฟรายเดย์,Black Friday,الجمعة السوداء,ब्लैक फ्राइडे,Black Friday
Blender,Text,,Blender,블렌더,ミキサー,Mixer,Licuadora,Liquidificador,Máy xay sinh tố,Блендер,Blender,เครื่องปั่น,Mixeur,خلاط,मिक्सर,Blender
Blow Torch,Text,,Blow Torch,블로우 토치,ブロートーチ,Lötlampe,Soplete,Maçarico,Khò Lửa,Газовая горелка,Lampu las,หัวพ่นไฟ,Chalumeau,موقد لحام,ब्लो टॉर्च,Üfleme Aleti
Blue_Outline_Shadow,Material,,HVD Fonts  MikadoBlack SDF Blue Outline Shadow,KO_JALNANGOTHICTTF SDF Blue Outline Shadow,JP_FUTEHODO-MARUGOTHIC SDF Blue Outline Shadow,HVD Fonts  MikadoBlack SDF Blue Outline Shadow,HVD Fonts  MikadoBlack SDF Blue Outline Shadow,HVD Fonts  MikadoBlack SDF Blue Outline Shadow,HVD Fonts  MikadoBlack SDF Blue Outline Shadow,movavi-grotesque Blue Outline Shadow,HVD Fonts  MikadoBlack SDF Blue Outline Shadow,NOTOSANSTHAI-EXTRABOLD SDF Blue Outline Shadow,HVD Fonts  MikadoBlack SDF Blue Outline Shadow,AligarhArabicFREEPERSONALUSE-Black SDF Blue Outline Shadow,BakbakOne-Regular SDF Blue Outline Shadow,NOTOSANSTHAI-EXTRABOLD SDF Blue Outline Shadow
Blue_outline,Material,,HVD Fonts  MikadoBlack SDF Blue Outline,KO_JALNANGOTHICTTF SDF Blue Outline,JP_FUTEHODO-MARUGOTHIC SDF Blue Outline,HVD Fonts  MikadoBlack SDF Blue Outline,HVD Fonts  MikadoBlack SDF Blue Outline,HVD Fonts  MikadoBlack SDF Blue Outline,HVD Fonts  MikadoBlack SDF Blue Outline,movavi-grotesque Blue Outline Shadow,HVD Fonts  MikadoBlack SDF Blue Outline,NOTOSANSTHAI-EXTRABOLD SDF Blue Outline Shadow,HVD Fonts  MikadoBlack SDF Blue Outline,AligarhArabicFREEPERSONALUSE-Black SDF Blue Outline Shadow,BakbakOne-Regular SDF Blue Outline Shadow,NOTOSANSTHAI-EXTRABOLD SDF Blue Outline Shadow
Bomb,Text,,Bomb,폭탄,爆弾,Bombe,Bomba,Bomba,Bom,Бомба,Bom,ระเบิด,Bombe,قنبلة,बम,Bomba
Bomb Exploded,Text,,Bomb Exploded,폭탄 폭발,爆弾爆発,Bombe explodiert,Bomba explotó,Bomba explodiu,Bom nổ,Бомба взорвалась,Bom meledak,ระเบิดทำงาน,Bombe explosée,انفجرت القنبلة,बम फटा,Bomba Patladı
Bomba!,Text,,Bomba!,폭탄!,ボンバ！,Bombe!,¡Bomba!,Bomba!,Bom!,Бум!,Bom!,บูม!,Boum !,بوم!,बूम!,Bomba!
Booster Feast,Text,,Booster Feast,부스터 축제,ブースターフィースト,Booster-Fest,Fiesta de Potenciadores,Festa dos Boosters,Lễ hội Booster,Праздник усилений,Festival Power-Up,งานเฉลิมฉลองพาวเวอร์อัป,Fête des bonus,مهرجان التعزيزات,पावर-अप उत्सव,Güçlendirici Şöleni
